"iso","phi","LR_pos","LR_neg"
"AGO",-0.929191558324262,1.54328254247395,-1.15842335819576
"ALB",-1.44667228148337,1.67847727979339,2.88459812791391
"ARG",-1.14035152381381,0.821429687184271,-1.78476072131788
"AUS",-0.773399113946821,1.019669912824,2.84037557359929
"AUT",-1.29816510568406,-0.104333845950147,0.407598224169808
"AZE",-1.55621522612619,1.89838124894087,1.62447948001179
"BEL",-0.910960433423564,-1.21160434590728,-0.904835072771822
"BEN",-0.6970776096787,-6.61345543474359,12.5071484159494
"BFA",-0.922438625507746,0.471865999865719,-1.86233903780723
"BGD",-1.63911912160028,0.388015181121779,-7.2836937151542
"BGR",-0.765417619451829,-0.0462856406182291,-0.335679347214566
"BHR",-0.719113390566102,-1.36731846359224,16.4096219103285
"BLR",-0.25797112014503,2.44715689758972,-4.86783554369886
"BOL",-1.08741098621374,0.526422186112374,-3.04871512091603
"BRA",-1.03779155007192,-8.9221835327271,2.19953622763296
"BWA",-0.316369308309525,-0.0250172166345636,1.02064890554148
"CAF",-1.0675031409077,-1.64663852562298,2.34763297844711
"CAN",-1.26512297505029,1.34240412692271,-0.609238635476713
"CHE",-1.33477582054999,6.0247155818043,-0.933742978511672
"CHL",-1.39094009919784,1.58085766045763,-6.30345001698966
"CHN",-0.962959648810564,-0.678283839785605,1.06835554630968
"CIV",-1.78198128360465,2.62990368793446,-9.34261075057908
"CMR",-1.25534307385519,2.11331946852119,4.05167427782843
"COD",-1.02645442236235,-1.38870780841853,2.95845375959397
"COG",-1.13873230294957,1.17183693907893,-54.0251572567169
"COL",-1.51506106717416,1.93539403580035,16.18073500702
"COM",-0.8237143237916,0.908815028868763,0.403361615258118
"CPV",-0.958598184966227,-0.538225359522306,-0.41987404953885
"CRI",-1.24545292669274,0.47931976096713,1.34822764542246
"CUB",-1.50130574394369,0.357811901392634,0.260231622858911
"CYP",-0.330820098429552,-6.7439299211612,23.3683701168704
"CZE",-0.678170444488436,-0.41028838217407,-160.307480506641
"DEU",-1.3821565025036,-0.909690928108063,3.81822137474231
"DJI",-0.533266369155518,-18.0272439636692,50.4810899530643
"DNK",-1.10272372179934,-0.469023159369026,1.97185340973273
"DOM",-1.51302417906959,-0.506665673930272,0.315627304933673
"DZA",-0.81265786172047,1.38921831544003,2.13223900944608
"ECU",-0.653670264881673,3.7815205807087,-1.29804184414972
"EGY",-1.01199367744708,-2.35902520574336,-2.22209128074854
"ESP",-1.19485411354373,2.06175362093266,-0.076752581082937
"EST",-0.497804133201939,-0.718157924782924,-0.209911265851459
"ETH",-0.741745714147958,2.27432068152659,-82.6539650341829
"FIN",-1.20645824389269,0.184720531412166,-1.90285471737742
"FRA",-1.08489909005538,3.19942070465783,1.46502788293042
"GAB",-1.28115134504249,-1.46643430145286,6.47211901911416
"GBR",-1.2615983414048,-0.596217100957365,0.0417157814811101
"GHA",-0.971519054614732,-11.6284618851973,7.51216791338625
"GIN",-0.938948176643487,-1.80035311652138,0.497727344887604
"GMB",-1.68400097646391,0.144963357104686,-1.34589613653882
"GNB",-1.21687644267837,-1.07137435624776,-0.247098743159952
"GNQ",-0.732870571590997,3.20160672126162,1.31572497856163
"GRC",-1.05986003674395,0.136569232996483,1.11883016404206
"GTM",-0.816920056594715,2.48167816830095,-1.41289531222361
"HKG",-0.504605698676068,0.300302499283442,-2.17870756941192
"HND",-0.78547448362637,0.375328402774503,-1.54066232928498
"HRV",-1.06458129947989,0.542352719499961,0.716406268814384
"HTI",-1.13942438568156,-0.336845472570716,-0.0591480588009366
"HUN",-0.934256241604294,0.853070361695445,4.08898966198421
"IDN",-0.955844963818971,1.0321742103262,-0.0600442887550013
"IND",-1.56723553318134,0.180390718091252,0.461938769873537
"IRL",-0.131016086130285,-7.68488177764438,4.97842241130981
"IRN",-1.28760185556634,1.18562839867007,0.305175276152288
"IRQ",-1.21480064161761,-2.04446196713659,-3.77308776258668
"ISL",-0.856844001534997,1.6196955754662,0.778731768372534
"ISR",-0.870615250612603,0.510044983632225,1.73476550195737
"ITA",-1.06759008622224,-0.40087476091575,-0.386757599073273
"JOR",-1.34632475296007,-6.56748756918154,-4.10941672071771
"JPN",-1.56631955126042,-0.365827117037991,0.039830283987291
"KAZ",-0.991953223095844,-0.528928957051397,-0.391237514062778
"KEN",-1.38716920774539,2.19259995894378,-2.59874437935116
"KHM",-0.764315151050825,-11.7177882331185,0.75804584745179
"KOR",-1.18214407335676,1.34676007485704,0.666566129222969
"KWT",-0.109853739964524,-0.636393438861774,-2.44295317123013
"LAO",-1.0145460021902,-0.118770872195722,0.492591668926678
"LBN",-1.58740448977055,0.395332532601211,-0.871623429383757
"LBY",-1.11231206350014,-2.20975619146429,1.60558410538293
"LKA",-0.717438043121229,1.11763270498601,0.622912311386302
"LSO",-1.57634448609454,-0.0330158795014232,0.130385430048988
"LTU",-0.801241274522765,1.54225590053824,-6.92876161406208
"LUX",-1.25982125972182,-2.68192265798497,-3.24632323606343
"LVA",-0.695053507723314,-0.944340046471322,-9.85809283029723
"MAR",-1.2536254390698,7.51265395862986,-5.57549376613958
"MDG",-0.767871866603331,-0.226332177357189,-10.2967792866018
"MEX",-1.74375096320111,0.1778216080939,-3.22348021933613
"MKD",-0.917086097541286,-0.754361294193083,-0.459817562544727
"MLI",-1.30561613970053,-0.920118336512751,2.89367501621717
"MLT",-0.920651704729844,2.89194018122667,-3.43012843466471
"MNG",-1.45585477431457,-0.375960748746138,0.240048812755144
"MOZ",-0.528837026797694,0.458795593422032,0.989717082710912
"MRT",-1.06232017858266,0.928376881601805,-8.95478365269498
"MUS",-1.55295317486713,1.20540149378534,6.38113984709369
"MWI",-1.54916897618732,-1.53820401413377,9.14568631532109
"MYS",-0.533923141844148,2.99112731976147,-6.10623763809462
"NER",-1.07469778569956,1.58943851137487,-21.9403888403166
"NIC",-1.68619883968395,0.232648058988995,9.70244191883765
"NLD",-1.33184535584818,-0.489145582676099,1.65656912868314
"NOR",-1.34505125257463,0.058508084390869,1.58973104589409
"NPL",-0.915538272562693,0.338492790408225,-3.29668808908316
"NZL",-1.17550514857491,0.203394655956178,-2.36554273337904
"OMN",-1.39556129657427,0.744586907250116,1.46000907713018
"PAK",-1.40110542060049,-0.132717556769222,-0.156213636841243
"PAN",-1.41067846507347,0.0842107438372042,0.938733471258852
"PER",-0.900296633415019,1.59616293761658,5.28131835400804
"PHL",-0.64597783085346,2.34667092476266,12.6012028926753
"POL",-1.20637359387556,2.12980146807115,0.888677606396065
"PRT",-1.03556657370417,-4.11845954523891,4.15835078633038
"PRY",-0.731452621723902,0.194994569713898,0.577277443696027
"QAT",-1.09487495062702,0.861650508510121,-0.658798568909363
"ROU",-1.1302195566578,-0.68477851416393,0.280061334551302
"RUS",-0.907571657908083,0.785398456543335,-0.936729975835226
"RWA",-1.18003695616251,6.05171467805993,-1.53585734992613
"SAU",-1.25594600054569,0.694421081548476,0.442669487161677
"SEN",-1.08615897827179,-9.07855427525269,-2.89338469132961
"SGP",-0.564917700557503,-0.157069361765965,0.734130224682211
"SLE",-0.502352503145108,0.249380477002683,-0.410587131065321
"SLV",-1.42903045823578,1.17254774732176,-2.05752784190278
"SVK",-1.20326277344588,0.149255993398812,-1.37108823809961
"SVN",-1.12265587590258,2.20685467786263,1.05978282961
"SWE",-1.41333563222018,0.321620155140758,0.179876189277544
"SWZ",-0.797640151231916,1.2597847955946,-0.346560809440085
"SYC",-0.741066654809397,-0.127596434660372,0.204174435333117
"SYR",-0.60568482740603,-3.38213327366357,0.638079840730177
"TCD",-1.36916099828417,1.42525923799858,0.321143456518191
"TGO",-1.29925379098345,5.92246157875018,2.14200366054971
"THA",-1.53921217023001,-0.260450919977608,1.18134767875582
"TKM",-1.62131254504026,-0.405571726715286,-0.667978707273596
"TUN",-1.66849351149365,0.346313574739723,-0.429172545085252
