"Test","Statistic","p_value"
"CD test (Pesaran 2004)","1.610","0.107"
"CIPS unit root - dep. var.","-1.832","CV5% = -2.04"
"CIPS unit root - asym. var.","-2.220","CV5% = -2.04"
"Slope homogeneity (Pesaran-Yamagata)","-4.597","0.000"
"Westerlund cointegration","-15.643","0.000"
"Wald test of long-run symmetry","4.244","0.039"
"Sample N","93",""
"Sample T","25",""
"Negative-increment fraction","51.6%",""
