"iso","phi","LR_pos","LR_neg"
"AE",-0.881019783016166,-0.0170699101983948,0.00794521324688016
"AO",-0.485315564083635,-0.0124497447878028,-0.00447089674365227
"AR",-0.919646735412431,-0.0972246516329926,0.00175855119455822
"AU",-0.102184798080676,-0.0505207263081681,-0.0858097585699679
"AZ",-0.0704954796687079,0.16013025826511,0.16453536151332
"BF",-0.696484575807245,0.0132194864631494,-0.00717075075590889
"BH",-0.543595103698544,0.00582843643050362,-0.00805840406791048
"BJ",-0.782031661376215,0.00792174142658623,0.0108229501660811
"BN",-0.296495031173491,0.0298827294704602,-0.0295997355154991
"BO",-0.821080550225774,0.0526060779811149,0.0190977993635683
"BR",-1.04658200688498,-0.0206673085254946,0.0372101930152794
"BT",-0.162660253764892,-0.0983047340872164,-0.0133615740303373
"BW",-0.555774271273687,-0.106162920786733,-0.0306852206928841
"CA",-0.169155714228436,-0.0714889666542068,0.150675100116056
"CD",-0.648015627772144,-0.00907043045047844,0.00962748465806651
"CF",-0.354322365037698,-0.0849484093446461,-0.0248287333695512
"CG",-0.137226915203281,-0.00707089105539114,0.0628310018366043
"CI",-0.123616146698513,-0.0334721877948676,0.181895180961515
"CL",-0.507218959429447,-0.0194739436704295,-0.00479590590668499
"CM",-0.631181452105508,-0.0253349043028542,-0.00114595377575079
"CN",-0.0664301341985007,-0.352755026883681,-0.620987255567034
"CO",-0.399806408376312,-0.00596073234982015,-0.0298264948160788
"CV",-0.613437097726004,-0.00238381232977815,0.022237737406362
"DZ",-0.220419070474231,0.00344023452878179,-0.00462511363498312
"EC",-0.354715019995616,-0.00881740226846658,0.000949003898841864
"EE",-0.51837220503097,-0.0118681834540598,-0.0205852202115811
"EG",-0.219994056021306,0.0168398868458161,-0.0120431973219329
"ER",-0.24539863504816,-0.0128515454099984,0.015070682404311
"ET",-0.685886717231175,-0.0243501874791519,-0.0106228551473432
"GA",-0.266343283993754,0.0314056253909205,-0.0138588929228423
"GH",-0.25371848523534,-0.101542707286932,-0.0405889419683186
"GM",-0.465161980297021,-0.0597353397041911,-0.0541876171049806
"GN",-0.643156918415587,-0.00469384442444731,-0.00476733221330914
"GQ",-1.1364667634536,-0.0123258742479375,-0.0176866327569515
"GW",-0.223004386469769,-0.04867308790445,0.050277982035301
"GY",-1.46372715863412,-0.00006146233178994,0.00189046070535613
"ID",-0.118196694359089,-0.942504876674923,0.033408313200823
"IN",-0.0759029808280132,0.071263005912427,-0.0423024128704347
"IQ",-0.259387627409443,0.00398101554395018,0.00898427702745179
"IR",-0.213268149646967,-0.00821857051144764,-0.0113706796340849
"KE",-0.75661317358816,-0.00676281927497906,0.0260719901466824
"KG",-0.986192342561976,0.00296227076595203,0.0133952179636792
"KH",-0.902496349328176,-0.00397612549502654,-0.013072196916805
"KW",-1.90707406700938,-0.0086805612448575,-0.00699855040429568
"KZ",-0.324181502762934,-0.0438719240208958,-0.0435658801512125
"LA",-0.323655754638578,-0.0000493644353149807,-0.0217384559807177
"LS",-0.189367884864587,-0.00269501026177445,-0.0125535251845605
"LY",-0.170052007448906,-0.0419936857782085,-0.00126529934153124
"MA",-0.374909195605145,-0.0361487362468085,0.0800713078879205
"MG",-0.509730862496889,0.00238844732310028,0.0105283006573038
"ML",-0.464690304092155,-0.0180219569787359,-0.0138431352915272
"MN",-0.806270366833355,-0.0170220278664898,0.0110181045871504
"MR",-0.439736299060926,-0.0198577883105902,0.0156434723659802
"MW",-0.0814914618276951,-0.0227508277274716,-0.00452487500568282
"MX",-0.229904135254937,0.00533823224313117,0.060676122533951
"MY",-0.721349818977181,-0.0116960024572506,0.00999175927423494
"MZ",-0.531705615499395,-0.00341525163646282,0.018666243758433
"NC",-0.341937712619169,0.00541293185293476,-0.0103344265478456
"NE",-0.809888606073619,-0.00145841450221113,-0.0297344543757063
"NI",-0.464177483811703,-0.00843026834100867,0.0133352788812715
"NO",-0.674137224016338,-0.00548496785621301,-0.0206195884605777
"OM",-0.722055924677365,-0.00159928719768067,0.00127280505247094
"PE",-0.43045963245574,-0.0598989991217971,-0.0828391955705054
"PG",-1.06179330525446,-0.00153509365689523,0.00471281622600435
"QA",-0.342616370816924,-0.0829434338264577,-0.00128990119208289
"RU",-0.861238981069429,0.00299865467028081,-0.00566071298376614
"RW",-0.280147684154427,0.0300503827906132,0.0117036341405924
"SA",-0.790336384087814,0.0126137020630474,-0.0112657127457518
"SB",-0.985862175711708,-0.0411818545978675,-0.0542182949426763
"SD",-0.631461614201747,-0.00342904783308618,-0.00442826340381606
"SL",-0.324080523510922,-0.00179973487768609,-0.00596435925916596
"SN",-0.20266052302832,-0.0175246461528599,0.122718789822665
"SR",-0.463375690696741,0.0281069520121346,0.00825154056472724
"SS",-0.240598540601728,-0.0840402376244038,-0.147672346970021
"SY",-0.460781941085045,-0.00851957575658209,-0.0116003327454881
"SZ",-0.099360212392765,-0.00867734703506142,0.00373911839951632
"TD",-0.277850762073068,-0.0273977615877494,-0.0376847399649462
"TG",-0.422362692298692,-0.038971094924748,-0.0428140300323534
"TH",-0.218560313421133,0.0132034226533627,-0.00937386346133564
"TL",-0.360765452380353,-0.0788397680170885,-0.081958239762503
